topic_id,domain,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
66,blogs,de,la,core,lens,pertinent,indifference,compatible,linux,optic,kernel
67,blogs,roman,cheese,sandwich,recipe,sticking,defeated,swiss,fuzzy,cod,tuna
68,blogs,fortune,prediction,inquiry,sang,egypt,myriad,prophet,prophecy,hawaiian,hannah
69,blogs,song,formula,crew,frog,sung,ay,compiler,referendum,aye,compilation
70,blogs,dictionary,com,http,definition,webster,www,merriam,amp,oxford,org
71,blogs,practice,religious,religion,concrete,holy,muslim,gin,valued,maturity,islamic
72,blogs,term,word,used,use,example,would,one,system,also,work
73,blogs,ocean,atom,attraction,pacific,molecule,soap,oxygen,measurable,lure,hydrogen
74,blogs,dream,demon,admire,mundane,imitate,welfare,nightmare,mare,emulate,goblin
75,blogs,tea,michael,kitchen,harry,drunk,bug,alcohol,insect,jacket,potter
76,blogs,self,military,oneself,enemy,strategy,doctrine,tactic,strategic,directing,parting
77,blogs,english,word,language,sound,latin,used,french,like,american,pronunciation
78,blogs,register,empty,presidential,registered,bubble,null,void,baggage,pointer,cache
79,blogs,past,time,present,tense,perfect,event,future,action,verb,would
80,blogs,nbsp,ii,ticket,bull,iii,cigarette,sue,float,atheist,iv
81,blogs,pair,tool,glass,instrument,expensive,cloth,pencil,scared,glove,scissors
82,blogs,george,weapon,camp,mexican,orwell,nucleus,doublethink,doublespeak,equitable,crafting
83,blogs,number,value,point,zero,one,amount,base,large,string,math
84,blogs,fruit,skin,drug,orange,alice,vegetable,abroad,lewis,outer,lemon
85,blogs,food,apple,table,small,store,drink,box,shop,coffee,dinner
86,blogs,fold,hung,lingo,disposal,hanged,argot,outlaw,anus,slump,cain
87,blogs,prison,chest,disability,elderly,breast,disabled,helper,enabled,worldview,inmate
88,blogs,sleep,wind,rain,summer,shape,spring,fell,debt,winter,sheet
89,blogs,innocent,disaster,naive,buddy,revelation,laser,photography,acknowledgement,pal,erotic
90,blogs,communist,betrayal,communism,shingle,cuomo,lava,viscous,thrower,wanker,caries
91,blogs,negative,question,positive,post,user,site,quot,request,website,medium
92,blogs,church,vector,scripture,superman,exchanged,orthogonal,moonlight,cathedral,danny,patriot
93,blogs,room,race,bed,population,elephant,lion,twin,horn,lincoln,abraham
94,blogs,satisfactory,crow,hindi,dependency,boo,patron,damp,statesman,priced,iris
95,blogs,vi,facing,governor,gov,govern,governmental,fascinated,imbalance,fascination,pumpkin
96,blogs,judge,span,referee,amused,umpire,nihilism,migrate,flora,fauna,nihilist
97,blogs,man,woman,love,slang,men,oed,old,black,term,red
