topic_id,domain,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
71,blogs,practice,religious,religion,concrete,holy,muslim,gin,valued,islam,islamic
72,blogs,term,word,used,use,example,system,would,also,work,may
73,blogs,ocean,atom,pacific,oxygen,molecule,lure,hydrogen,pidgin,lingua,gel
74,blogs,dream,demon,welfare,admire,mundane,nightmare,mare,progenitor,goblin,quotidian
75,blogs,tea,sit,bold,harry,bug,insect,indicator,exit,triple,potter
76,blogs,conceited,parting,renamed,egoism,pomp,litany,egotism,ferret,cerebral,egoist
77,blogs,english,word,language,sound,latin,used,french,like,old,pronunciation
78,blogs,register,empty,presidential,registered,null,void,baggage,pointer,cache,extremity
79,blogs,past,time,present,tense,perfect,event,future,action,would,verb
80,blogs,nbsp,ticket,ii,bull,cigarette,iv,knight,sue,atheist,vacuum
81,blogs,available,pair,tool,engine,instrument,pencil,trope,scissors,cart,damned
82,blogs,weapon,camp,wit,mexican,nucleus,doublespeak,equitable,tint,surveyor,cartel
83,blogs,number,one,two,three,value,amount,small,four,unit,large
84,blogs,fruit,skin,orange,alice,vegetable,banana,lewis,abroad,axis,outer
85,blogs,food,table,apple,store,drink,item,box,shop,piece,glass
86,blogs,increase,beneath,fold,execution,hung,underneath,disposal,bunk,hanged,argot
87,blogs,prison,jail,chest,elderly,breast,disabled,humanitarian,worldview,inmate,boob
88,blogs,fall,wind,rain,summer,spring,fell,winter,debt,sheet,tower
89,blogs,innocent,disaster,naive,laser,revelation,photography,unaffected,glamour,apocalypse,clothed
90,blogs,communist,ladder,betrayal,communism,rung,wanker,thrower,caries,slumped,tosser
91,blogs,negative,positive,post,question,site,quot,user,website,medium,news
92,blogs,church,vector,int,superman,exchanged,orthogonal,cathedral,patriot,joker,bronco
93,blogs,race,bed,population,elephant,horn,lincoln,twin,cargo,abraham,trumpet
94,blogs,satisfactory,dependency,hindi,boo,patron,gratification,statesman,priced,massage,quiver
95,blogs,facing,vi,governor,tribe,gov,govern,governmental,stoic,fascinated,fascination
96,blogs,judge,span,referee,breeding,amused,hipster,wry,umpire,flora,migrate
97,blogs,man,woman,love,men,person,red,black,white,girl,slang
